city,date,transportation_type,flow
Belfast,2020-03-19,walking,50.36
Belfast,2020-03-19,transit,34.36
Belfast,2020-03-20,driving,76.41
Belfast,2020-03-20,walking,59.14
Belfast,2020-03-20,transit,35.09
Belfast,2020-03-21,driving,57.41
Belfast,2020-03-21,walking,42.51
Belfast,2020-03-21,transit,27.61
Belfast,2020-03-22,driving,41.6
Belfast,2020-03-22,walking,32.37
Belfast,2020-03-22,transit,21.99
Belfast,2020-03-23,driving,48.09
Belfast,2020-03-23,walking,39.97
Belfast,2020-03-23,transit,24.6
Belfast,2020-03-24,driving,38.6
Belfast,2020-03-24,walking,34.58
Belfast,2020-03-24,transit,20.32
Belfast,2020-03-25,driving,34.88
Belfast,2020-03-25,walking,35.16
Belfast,2020-03-25,transit,16.04
Belfast,2020-03-26,driving,36.1
Belfast,2020-03-26,walking,35.11
Belfast,2020-03-26,transit,14.44
Belfast,2020-03-27,driving,40.97
Belfast,2020-03-27,walking,38.21
Belfast,2020-03-27,transit,16.11
Belfast,2020-03-28,driving,35.59
Belfast,2020-03-28,walking,35.88
Belfast,2020-03-28,transit,16.24
Belfast,2020-03-29,driving,26.52
Belfast,2020-03-29,walking,28.22
Belfast,2020-03-29,transit,14.57
Belfast,2020-03-30,driving,35.49
Belfast,2020-03-30,walking,31.98
Belfast,2020-03-30,transit,19.39
Belfast,2020-03-31,driving,35.66
Belfast,2020-03-31,walking,33.7
Belfast,2020-03-31,transit,13.84
Belfast,2020-04-01,driving,35.47
Belfast,2020-04-01,walking,33.79
Belfast,2020-04-01,transit,16.91
Belfast,2020-04-02,driving,36.67
Belfast,2020-04-02,walking,31.04
Belfast,2020-04-02,transit,16.51
Belfast,2020-04-03,driving,45.17
Belfast,2020-04-03,walking,42.67
Belfast,2020-04-03,transit,13.03
Belfast,2020-04-04,driving,40.51
Belfast,2020-04-04,walking,38.78
Belfast,2020-04-04,transit,14.84
Belfast,2020-04-05,driving,30.27
Belfast,2020-04-05,walking,28.49
Belfast,2020-04-05,transit,12.3
Belfast,2020-04-06,driving,37.38
Belfast,2020-04-06,walking,34.95
Belfast,2020-04-06,transit,14.77
Belfast,2020-04-07,driving,39.82
Belfast,2020-04-07,walking,41.09
Belfast,2020-04-07,transit,19.59
Belfast,2020-04-08,driving,40.92
Belfast,2020-04-08,walking,39.96
Belfast,2020-04-08,transit,16.51
Belfast,2020-04-09,driving,44.54
Belfast,2020-04-09,walking,43.41
Belfast,2020-04-09,transit,19.65
Belfast,2020-04-10,driving,48.57
Belfast,2020-04-10,walking,48.98
Belfast,2020-04-10,transit,16.98
Belfast,2020-04-11,driving,42.82
Belfast,2020-04-11,walking,47.67
Belfast,2020-04-11,transit,14.57
Belfast,2020-04-12,driving,26.38
Belfast,2020-04-12,walking,29.82
Belfast,2020-04-12,transit,16.38
Belfast,2020-04-13,driving,33.79
Belfast,2020-04-13,walking,39.58
Belfast,2020-04-13,transit,17.51
Belfast,2020-04-14,driving,38.44
Belfast,2020-04-14,walking,48.19
Belfast,2020-04-14,transit,18.18
Belfast,2020-04-15,driving,43.92
Belfast,2020-04-15,walking,52.79
Belfast,2020-04-15,transit,19.59
Belfast,2020-04-16,driving,45.86
Belfast,2020-04-16,walking,53.24
Belfast,2020-04-16,transit,21.59
Belfast,2020-04-17,driving,50.25
Belfast,2020-04-17,walking,54.34
Belfast,2020-04-17,transit,17.25
Belfast,2020-04-18,driving,44.03
Belfast,2020-04-18,walking,45.47
Belfast,2020-04-18,transit,19.18
Belfast,2020-04-19,driving,32.53
Belfast,2020-04-19,walking,38.51
Belfast,2020-04-19,transit,14.04
Belfast,2020-04-20,driving,43.1
Belfast,2020-04-20,walking,44.65
Belfast,2020-04-20,transit,19.99
Belfast,2020-04-21,driving,45.23
Belfast,2020-04-21,walking,45.18
Belfast,2020-04-21,transit,17.91
Belfast,2020-04-22,driving,45.31
Belfast,2020-04-22,walking,46.69
Belfast,2020-04-22,transit,18.45
Belfast,2020-04-23,driving,45.85
Belfast,2020-04-23,walking,46.43
Belfast,2020-04-23,transit,15.84
Belfast,2020-04-24,driving,54.27
Belfast,2020-04-24,walking,49.62
Belfast,2020-04-24,transit,19.45
Belfast,2020-04-25,driving,45.71
Belfast,2020-04-25,walking,45.18
Belfast,2020-04-25,transit,17.58
Belfast,2020-04-26,driving,34.48
Belfast,2020-04-26,walking,35.99
Belfast,2020-04-26,transit,14.57
Belfast,2020-04-27,driving,44.74
Belfast,2020-04-27,walking,38.64
Belfast,2020-04-27,transit,18.32
Belfast,2020-04-28,driving,44.37
Belfast,2020-04-28,walking,39.47
Belfast,2020-04-28,transit,16.44
Belfast,2020-04-29,driving,44.36
Belfast,2020-04-29,walking,37.06
Belfast,2020-04-29,transit,14.37
Belfast,2020-04-30,driving,46.88
Belfast,2020-04-30,walking,36.54
Belfast,2020-04-30,transit,13.84
Belfast,2020-05-01,driving,55.51
Belfast,2020-05-01,walking,45.33
Belfast,2020-05-01,transit,14.97
Belfast,2020-05-02,driving,48.26
Belfast,2020-05-02,walking,46.38
Belfast,2020-05-02,transit,16.38
Belfast,2020-05-03,driving,36.64
Belfast,2020-05-03,walking,34.7
Belfast,2020-05-03,transit,17.05
Belfast,2020-05-04,driving,45.72
Belfast,2020-05-04,walking,40.46
Belfast,2020-05-04,transit,19.79
Belfast,2020-05-05,driving,49.78
Belfast,2020-05-05,walking,47.78
Belfast,2020-05-05,transit,18.52
Belfast,2020-05-06,driving,51.44
Belfast,2020-05-06,walking,48.77
Belfast,2020-05-06,transit,20.52
Belfast,2020-05-07,driving,52.73
Belfast,2020-05-07,walking,46.49
Belfast,2020-05-07,transit,19.45
Belfast,2020-05-08,driving,54.55
Belfast,2020-05-08,walking,51.12
Belfast,2020-05-08,transit,19.25
Belfast,2020-05-09,driving,53.63
Belfast,2020-05-09,walking,52.3
Belfast,2020-05-09,transit,18.25
Belfast,2020-05-10,driving,39.19
Belfast,2020-05-10,walking,36.13
Belfast,2020-05-10,transit,20.66
Belfast,2020-05-11,driving,NA
Belfast,2020-05-11,walking,NA
Belfast,2020-05-11,transit,NA
Belfast,2020-05-12,driving,NA
Belfast,2020-05-12,walking,NA
Belfast,2020-05-12,transit,NA
Belfast,2020-05-13,driving,54.3
Belfast,2020-05-13,walking,48.71
Belfast,2020-05-13,transit,23.93
Belfast,2020-05-14,driving,54.94
Belfast,2020-05-14,walking,49.78
Belfast,2020-05-14,transit,19.85
Belfast,2020-05-15,driving,64.03
Belfast,2020-05-15,walking,55.82
Belfast,2020-05-15,transit,21.39
Belfast,2020-05-16,driving,59.42
Belfast,2020-05-16,walking,55.19
Belfast,2020-05-16,transit,21.93
Belfast,2020-05-17,driving,43.95
Belfast,2020-05-17,walking,35.91
Belfast,2020-05-17,transit,18.25
Belfast,2020-05-18,driving,55.9
Belfast,2020-05-18,walking,48.71
Belfast,2020-05-18,transit,25.2
Belfast,2020-05-19,driving,63.63
Belfast,2020-05-19,walking,52.19
Belfast,2020-05-19,transit,27.81
Belfast,2020-05-20,driving,66.24
Belfast,2020-05-20,walking,58.72
Belfast,2020-05-20,transit,26
Belfast,2020-05-21,driving,68.07
Belfast,2020-05-21,walking,57.87
Belfast,2020-05-21,transit,25.53
Belfast,2020-05-22,driving,76.52
Belfast,2020-05-22,walking,58.86
Belfast,2020-05-22,transit,20.79
Belfast,2020-05-23,driving,71.76
Belfast,2020-05-23,walking,55.51
Belfast,2020-05-23,transit,16.51
Belfast,2020-05-24,driving,59.14
Belfast,2020-05-24,walking,48.21
Belfast,2020-05-24,transit,25
Belfast,2020-05-25,driving,70.46
Belfast,2020-05-25,walking,63.38
Belfast,2020-05-25,transit,26.8
Belfast,2020-05-26,driving,73.97
Belfast,2020-05-26,walking,57.57
Belfast,2020-05-26,transit,25.8
Belfast,2020-05-27,driving,74.83
Belfast,2020-05-27,walking,60.01
Belfast,2020-05-27,transit,28.54
Belfast,2020-05-28,driving,79.61
Belfast,2020-05-28,walking,65.53
Belfast,2020-05-28,transit,29.01
Belfast,2020-05-29,driving,88.82
Belfast,2020-05-29,walking,74.33
Belfast,2020-05-29,transit,22.93
Belfast,2020-05-30,driving,82.05
Belfast,2020-05-30,walking,69.47
Belfast,2020-05-30,transit,27.54
Belfast,2020-05-31,driving,67.4
Belfast,2020-05-31,walking,51.62
Belfast,2020-05-31,transit,30.01
Belfast,2020-06-01,driving,78.32
Belfast,2020-06-01,walking,61.63
Belfast,2020-06-01,transit,32.95
Belfast,2020-06-02,driving,77.98
Belfast,2020-06-02,walking,59.25
Belfast,2020-06-02,transit,32.42
Belfast,2020-06-03,driving,78.37
Belfast,2020-06-03,walking,58.84
Belfast,2020-06-03,transit,31.02
Belfast,2020-06-04,driving,75.85
Belfast,2020-06-04,walking,53.08
Belfast,2020-06-04,transit,29.61
Belfast,2020-06-05,driving,86.38
Belfast,2020-06-05,walking,60.56
Belfast,2020-06-05,transit,22.93
Belfast,2020-06-06,driving,77.98
Belfast,2020-06-06,walking,62.18
Belfast,2020-06-06,transit,28.14
Belfast,2020-06-07,driving,67.3
Belfast,2020-06-07,walking,48.54
Belfast,2020-06-07,transit,23.06
Belfast,2020-06-08,driving,75.51
Belfast,2020-06-08,walking,55.73
Belfast,2020-06-08,transit,28.94
Belfast,2020-06-09,driving,80.01
Belfast,2020-06-09,walking,58.66
Belfast,2020-06-09,transit,32.29
Belfast,2020-06-10,driving,79.74
Belfast,2020-06-10,walking,56.86
Belfast,2020-06-10,transit,28.41
Belfast,2020-06-11,driving,86.63
Belfast,2020-06-11,walking,67.49
Belfast,2020-06-11,transit,24.4
Belfast,2020-06-12,driving,92.44
Belfast,2020-06-12,walking,65.9
Belfast,2020-06-12,transit,28.94
Belfast,2020-06-13,driving,93.41
Belfast,2020-06-13,walking,72
Belfast,2020-06-13,transit,32.69
Belfast,2020-06-14,driving,75.58
Belfast,2020-06-14,walking,52.53
Belfast,2020-06-14,transit,29.81
Belfast,2020-06-15,driving,86.49
